,Time,VNE atom7 t_q = linear flat,VNE atom7 t_q = 10
0,0.0,2.6450587167596573e-09,2.6450587167596573e-09
1,0.001,1.3818703956634815e-07,1.3818704057248776e-07
2,0.002,1.3532570012284029e-06,1.3532570013359557e-06
3,0.003,6.660999973456816e-06,6.660999974834186e-06
4,0.004,2.243169547083007e-05,2.2431695471850088e-05
5,0.005,5.927969364979968e-05,5.927969365639857e-05
6,0.006,0.00013225459350327262,0.00013225459354095775
7,0.007,0.0002602046695020996,0.0002602046696786736
8,0.008,0.00046434126831789574,0.00046434126900151557
9,0.009000000000000001,0.0007661740750481844,0.000766174077302853
10,0.01,0.0011850905039757567,0.0011850905104624013
11,0.011,0.0017359064526591868,0.0017359064692831078
12,0.012,0.002426717152343532,0.002426717190932917
13,0.013000000000000001,0.0032573308443291198,0.0032573309265273714
14,0.014,0.004218485837052286,0.00421848599941774
15,0.015,0.0052919482014346896,0.0052919485014189475
16,0.016,0.006451478914046894,0.0064514794361811185
17,0.017,0.007664560115828235,0.007664560977074416
18,0.018000000000000002,0.008894691541949908,0.008894692895000342
19,0.019,0.010104017207470752,0.010104019240655855
20,0.02,0.011256021989260828,0.011256024922011908
21,0.021,0.01231804693694669,0.0123180510101868
22,0.022,0.013263407079657737,0.013263412541193138
23,0.023,0.014072950155726377,0.014072957241527233
24,0.024,0.014735961787710961,0.014735970700793435
25,0.025,0.015250394323825429,0.015250405213109646
26,0.026000000000000002,0.01562246511701185,0.015622478058938911
27,0.027,0.01586572827971493,0.0158657432654504
28,0.028,0.015999765929479645,0.015999782860178814
29,0.029,0.016048666279752648,0.016048684971745573
30,0.03,0.01603945450240638,0.016039474703279336
31,0.031,0.0160006187247005,0.01600064014038833
32,0.032,0.015960831612834812,0.015960853945126276
33,0.033,0.015947914725189097,0.015947937718519933
34,0.034,0.015988037812611457,0.01598806130886258
35,0.035,0.016105099374389337,0.016105123374339586
36,0.036000000000000004,0.01632020796090941,0.016320232690944347
37,0.037,0.0166511822198512,0.016651208202348403
38,0.038,0.017112011798599967,0.017112039923775482
39,0.039,0.017712264343165852,0.017712295939323233
40,0.04,0.018456473897937063,0.018456510795871992
41,0.041,0.01934358907170339,0.019343633657938855
42,0.042,0.020366584036366656,0.02036663928892384
43,0.043000000000000003,0.021512336254478768,0.021512405754480386
44,0.044,0.022761852859599755,0.022761940772097814
45,0.045,0.02409088887009211,0.024090999888388392
46,0.046,0.025470953249631622,0.02547109249897052
47,0.047,0.026870651576011276,0.02687082447483811
48,0.048,0.028257273666070715,0.02825748574600206
49,0.049,0.029598505833420163,0.029598762522447364
50,0.05,0.030864133288112792,0.030864439665135773
51,0.051000000000000004,0.03202759925110395,0.03202795978347151
52,0.052000000000000005,0.03306730259262738,0.03306772087166597
53,0.053,0.03396754271737369,0.03396802120954675
54,0.054,0.034719055492225474,0.03471959532539398
55,0.055,0.03531912313618249,0.03531972394094365
56,0.056,0.035771279883820416,0.0357719397088533
57,0.057,0.03608466981365427,0.0360853851310752
58,0.058,0.03627313996647258,0.036273905778338826
59,0.059000000000000004,0.036354168089674066,0.03635497814002203
60,0.06,0.036347728495354684,0.03634857558409504
61,0.061,0.03627519145167937,0.03627606783796478
62,0.062,0.03615833259317899,0.036159230467675336
63,0.063,0.03601850188853582,0.03601941388750531
64,0.064,0.035875970855073464,0.03587689058549437
65,0.065,0.03574944683151706,0.03575036937633368
66,0.066,0.035655719126108126,0.03565664150230086
67,0.067,0.03560938783849171,0.0356103093874852
68,0.068,0.03562262455920604,0.03562354725790469
69,0.069,0.035704925177200975,0.03570585386697972
70,0.07,0.03586283640151605,0.03586377893996079
71,0.07100000000000001,0.036099664861788436,0.03610063220603736
72,0.07200000000000001,0.03641520491086931,0.03641621114112952
73,0.073,0.03680554238269556,0.036806604669367714
74,0.074,0.037263001507814586,0.03726414001650148
75,0.075,0.03777629813260526,0.03777753584964671
76,0.076,0.03833094437111557,0.03833230682065478
77,0.077,0.03890992069428185,0.03891143550898107
78,0.078,0.03949459615715859,0.03949629246139364
79,0.079,0.0400658418333035,0.040067749402183
80,0.08,0.04060525215600982,0.04060740032741528
81,0.081,0.04109636817545168,0.041098784515379315
82,0.082,0.041525788488729246,0.0415284972417297
83,0.083,0.041884058801737095,0.04188707919526785
84,0.084,0.042166249172931214,0.042169593683237076
85,0.085,0.042372157088593015,0.042375829811116435
86,0.08600000000000001,0.04250611168353976,0.042510106976773654
87,0.08700000000000001,0.04257639585636546,0.04258069743840036
88,0.088,0.04259434428764247,0.04259892495388985
89,0.089,0.04257321161414078,0.04257803370933651
90,0.09,0.04252693141549672,0.0425319481333914
91,0.091,0.04246889902803786,0.04247405653290311
92,0.092,0.04241090672413407,0.042416146999822386
93,0.093,0.04236233794075056,0.042367602190095686
94,0.094,0.04232969031424945,0.04233492267079133
95,0.095,0.04231645050269511,0.04232160179259803
96,0.096,0.04232329460917477,0.042328325922595715
97,0.097,0.0423485447624551,0.042353430660261086
98,0.098,0.04238878245270448,0.042393513736263794
99,0.099,0.04243950742186893,0.04244409351279224
100,0.1,0.042495738617976474,0.04250020970809809
101,0.101,0.04255247863443437,0.04255688785095682
102,0.10200000000000001,0.04260499985501982,0.04260942572161066
103,0.10300000000000001,0.0426489520397331,0.04265350148855436
104,0.10400000000000001,0.04268032963110967,0.04268514172916628
105,0.105,0.04269536573630196,0.04270061613829535
106,0.106,0.042690433534153846,0.042696339479613904
107,0.107,0.04266203243368266,0.04266885789331629
108,0.108,0.04260691639716448,0.04261497677296746
109,0.109,0.04252238910875566,0.04253205473637804
110,0.11,0.04240675109280397,0.04241844871227865
111,0.111,0.04225984467045299,0.04227405604477477
112,0.112,0.04208361093946372,0.04210086792190329
113,0.113,0.0418825546493004,0.041903430230547184
114,0.114,0.04166401162097329,0.04168910681523628
115,0.115,0.0414381302756086,0.041468057107096036
116,0.116,0.04121751221623141,0.04125287350787625
117,0.117,0.041016502500289355,0.04105786959582439
118,0.11800000000000001,0.0408501720319161,0.04089806193939685
119,0.11900000000000001,0.040733084703939465,0.040787938366528956
120,0.12,0.0406779822034552,0.040740145620992096
121,0.121,0.04069454200763417,0.040764251715343466
122,0.122,0.04078836344822536,0.04086573741949249
123,0.123,0.04096031106385595,0.04104534551625766
124,0.124,0.04120629703199266,0.041298869010682346
125,0.125,0.04151752344365352,0.041617398592099696
126,0.126,0.04188114200698978,0.041987986750940946
127,0.127,0.042281235342846446,0.04239463288179467
128,0.128,0.042699989678270246,0.0428194596779959
129,0.129,0.04311891806168276,0.04324394065840397
130,0.13,0.04352000557620242,0.043650051061094035
131,0.131,0.043886678445177414,0.04402124459994034
132,0.132,0.04420453985576891,0.04434319917756967
133,0.133,0.044461858507543,0.04460431736813489
134,0.134,0.04464983385571599,0.04479600492872514
135,0.135,0.04476268910023569,0.044912777184519186
136,0.136,0.04479765586737437,0.04495225563120303
137,0.137,0.044754912490286895,0.04491511482144201
138,0.138,0.04463752252662698,0.044805024299900284
139,0.139,0.044451395447119506,0.04462860582971571
140,0.14,0.044205262535604514,0.04439539764736103
141,0.14100000000000001,0.043910633832854595,0.04411779083400409
142,0.14200000000000002,0.04358168201808352,0.04381088364228514
143,0.14300000000000002,0.04323499088029513,0.043492192151953026
144,0.14400000000000002,0.04288911205448777,0.04318116247457768
145,0.145,0.042563894235160486,0.04289845109100559
146,0.146,0.042279581868804615,0.04266497345294748
147,0.147,0.04205572067343656,0.04250076190250985
148,0.148,0.041909948513553806,0.04242371537572767
149,0.149,0.04185678425196558,0.04244835716268837
150,0.15,0.04190654643543545,0.04258473532219334
151,0.151,0.04206453222559599,0.042837597433430685
152,0.152,0.04233056283372162,0.04320594547641722
153,0.153,0.042698957825779066,0.04368303121003267
154,0.154,0.043158944824873126,0.04425679574460137
155,0.155,0.043695454176414045,0.044910700200741234
156,0.156,0.04429020102023838,0.04562484831397589
157,0.157,0.04492292814671629,0.04637727440321999
158,0.158,0.045572675665684896,0.04714526435969374
159,0.159,0.046218956778505293,0.04790659157766196
160,0.16,0.0468427480073228,0.048640578883623865
161,0.161,0.047427240280529796,0.04932893461693434
162,0.162,0.0479583370928658,0.0499563490149402
163,0.163,0.048424921174857756,0.05051086989837407
164,0.164,0.04881893691623716,0.050984099937459545
165,0.165,0.049135349341814565,0.0513712690690418
166,0.166,0.049372040963131046,0.05167123451460121
167,0.167,0.049529696552329375,0.051886448793715026
168,0.168,0.049611705761388555,0.05202291619833396
169,0.169,0.04962408875416141,0.05209013456324163
170,0.17,0.049575425466357334,0.05210099651519236
171,0.171,0.04947674948700775,0.05207160721921265
172,0.17200000000000001,0.049341356765131295,0.05202096766131076
173,0.17300000000000001,0.04918447986285297,0.05197047604537419
174,0.17400000000000002,0.04902279094907949,0.05194321551304462
175,0.17500000000000002,0.048873719807051685,0.05196302271760114
176,0.176,0.04875460354793697,0.052053365399122364
177,0.177,0.04868171762827318,0.05223609285604641
178,0.178,0.04866926733159453,0.05253015473145134
179,0.179,0.048728439184796225,0.05295040427625196
180,0.18,0.04886661798411661,0.053506606846475555
181,0.181,0.049086864591766574,0.05420276016087017
182,0.182,0.04938772296288764,0.0550368009267519
183,0.183,0.049763385882942365,0.05600072796892564
184,0.184,0.05020420425665377,0.05708112304414299
185,0.185,0.05069748234023809,0.05826000606914371
186,0.186,0.05122846828489526,0.05951592911182609
187,0.187,0.051781430788438935,0.060825197649198026
188,0.188,0.052340710486861994,0.062163108997392136
189,0.189,0.05289164784644208,0.06350511391046394
190,0.19,0.05342131425234921,0.06482783343889147
191,0.191,0.05391900487801653,0.06610989371903836
192,0.192,0.054376485535842976,0.06733257116806816
193,0.193,0.05478801625170757,0.06848026529835367
194,0.194,0.05515019793851378,0.06954083311501773
195,0.195,0.0554617027345835,0.07050582638787543
196,0.196,0.05572295225936775,0.07137067101730014
197,0.197,0.05593580165772667,0.07213481755358497
198,0.198,0.05610327266774698,0.07280187601125013
199,0.199,0.05622935896470445,0.07337972943816988
200,0.2,0.056318905278990916,0.07388060250957867
201,0.201,0.05637754196092612,0.074321046823187
202,0.202,0.05641164203701335,0.07472179615741133
203,0.203,0.05642826070625473,0.07510744449186954
204,0.20400000000000001,0.05643501872056737,0.0755059078397821
205,0.20500000000000002,0.05643990081996143,0.07594764754957259
206,0.20600000000000002,0.0564509566431669,0.07646465619092499
207,0.20700000000000002,0.056475911520090016,0.07708923483575594
208,0.20800000000000002,0.05652171482892411,0.07785261891130225
209,0.209,0.05659407059468327,0.07878353464799306
210,0.21,0.056697005590373065,0.07990678521064161
211,0.211,0.056832532240004646,0.08124197135661501
212,0.212,0.05700045638477852,0.08280244399868614
213,0.213,0.05719836432848099,0.08459456579156145
214,0.214,0.057421801883674475,0.08661732879358741
215,0.215,0.05766463382735052,0.08886234042150498
216,0.216,0.05791954910261328,0.09131415626841355
217,0.217,0.05817865883571244,0.09395091130891822
218,0.218,0.058434123417848365,0.09674518420267661
219,0.219,0.05867874285518175,0.09966502402826283
220,0.22,0.05890645122427818,0.10267507367592854
221,0.221,0.05911267002548351,0.10573773642711941
222,0.222,0.0592944942150645,0.10881434826025486
223,0.223,0.0594507059140167,0.11186633449526892
224,0.224,0.05958163133133959,0.114856342540117
225,0.225,0.059688873663988985,0.11774935075753025
226,0.226,0.05977496657517965,0.12051375595637157
227,0.227,0.05984299803287754,0.12312243886525366
228,0.228,0.05989625246956293,0.12555379911145417
229,0.229,0.05993791102842835,0.12779274020769782
230,0.23,0.05997083659569488,0.12983157264424514
231,0.231,0.05999745455375628,0.13167079125991207
232,0.232,0.06001972423553856,0.13331967336768447
233,0.233,0.0600391823762214,0.1347966381350199
234,0.234,0.06005703046546176,0.1361293066483817
235,0.23500000000000001,0.0600742340681332,0.13735420677750235
236,0.23600000000000002,0.060091604232202334,0.13851607791932105
237,0.23700000000000002,0.06010983840179471,0.13966674812296498
238,0.23800000000000002,0.06012950933253139,0.14086357973695363
239,0.23900000000000002,0.06015100332129045,0.14216750876909331
240,0.24,0.06017442133587956,0.1436407360080285
241,0.241,0.060199466216885204,0.14534416201916503
242,0.242,0.06022534435451184,0.1473346897275923
243,0.243,0.06025071019053546,0.1496625429598641
244,0.244,0.06027367652519536,0.15236876244692465
245,0.245,0.06029190378412207,0.15548303877400507
246,0.246,0.060302768735525765,0.15902202313955371
247,0.247,0.06030359973227356,0.16298822307693545
248,0.248,0.060291953597073386,0.1673695460307471
249,0.249,0.060265900734120734,0.17213950546384366
250,0.25,0.060224281339899516,0.1772580590330471
251,0.251,0.060166897337284274,0.18267301203448172
252,0.252,0.06009461166967933,0.18832189498981028
253,0.253,0.06000933788289121,0.19413421228625222
254,0.254,0.059913916889045446,0.20003395723185066
255,0.255,0.05981189246380279,0.20594229445258566
256,0.256,0.059707210286449985,0.21178031968355
257,0.257,0.05960387528807181,0.2174718166748698
258,0.258,0.059505607278669846,0.2229459390872673
259,0.259,0.059415534509121626,0.22813975087349878
260,0.26,0.059335959031027216,0.23300056160035834
261,0.261,0.059268217322260015,0.23748799397280096
262,0.262,0.0592126462414876,0.24157572037867175
263,0.263,0.059168650026306883,0.245252804674509
264,0.264,0.059134850955542634,0.24852458584204917
265,0.265,0.059109296419273163,0.25141304273065307
266,0.266,0.05908968987801673,0.25395658502216495
267,0.267,0.05907361315850408,0.2562092259547723
268,0.268,0.059058712479205126,0.2582391083112547
269,0.269,0.05904282948967767,0.26012637764129654
270,0.27,0.05902406982194055,0.26196042618966753
271,0.271,0.05900081326223538,0.26383656735700417
272,0.272,0.05897167973914014,0.2658522423879618
273,0.273,0.05893547227854725,0.26810290546701643
274,0.274,0.05889112083743736,0.2706777758695166
275,0.275,0.058837649144018386,0.27365568014317726
276,0.276,0.05877418073956844,0.27710122673890597
277,0.277,0.058699991415220865,0.28106155414848405
278,0.278,0.0586146047404881,0.285563868061905
279,0.279,0.05851791720308345,0.2906139339180309
280,0.28,0.05841033137685672,0.29619562355074835
281,0.281,0.05829287092259329,0.3022715371824192
282,0.28200000000000003,0.05816725096294881,0.30878464529562066
283,0.28300000000000003,0.058035881630501426,0.3156608287285682
284,0.28400000000000003,0.05790179083504299,0.3228121466637977
285,0.28500000000000003,0.05776846337720061,0.33014063403188865
286,0.28600000000000003,0.057639605838453976,0.3375424213790478
287,0.28700000000000003,0.057518858362512755,0.3449119777559456
288,0.28800000000000003,0.05740948370532596,0.3521462955899963
289,0.289,0.05731406927099115,0.35914886067728946
290,0.29,0.057234278314199666,0.36583327613995653
291,0.291,0.05717068184028659,0.372126433539442
292,0.292,0.057122693521994096,0.3779711457827194
293,0.293,0.05708861745285562,0.383328174630718
294,0.294,0.05706580457793624,0.38817760098918364
295,0.295,0.05705090022605569,0.39251949975356165
296,0.296,0.057040154251590286,0.39637389410971124
297,0.297,0.05702975839290456,0.3997799782806333
298,0.298,0.057016173430708514,0.40279461411140516
299,0.299,0.05699641168745619,0.40549012673002355
300,0.3,0.05696824772363045,0.4079514485284279
301,0.301,0.05693034054280248,0.4102726889606518
302,0.302,0.05688226262171246,0.41255323936951804
303,0.303,0.056824442907491175,0.4148935553754498
304,0.304,0.05675804095420715,0.41739079128736656
305,0.305,0.0566847763083029,0.4201344875183421
306,0.306,0.05660674028413884,0.4232025285436085
307,0.307,0.056526216164982025,0.42665759116943
308,0.308,0.05644552899266004,0.4305442876128682
309,0.309,0.05636693838468054,0.43488717408242333
310,0.31,0.056292578558730315,0.4396897449183339
311,0.311,0.05622444047174693,0.44493446942036374
312,0.312,0.05616438318423979,0.45058385992442773
313,0.313,0.056114156469250775,0.4565824930684128
314,0.314,0.05607541508034953,0.46285984855433565
315,0.315,0.05604970719170919,0.4693337863080522
316,0.316,0.05603842495342805,0.47591445646004715
317,0.317,0.05604271296847289,0.4825084271094989
318,0.318,0.056063339511192634,0.48902282036020545
319,0.319,0.05610054400112334,0.4953692643072188
320,0.32,0.056153881187011416,0.501467493758901
321,0.321,0.05622208651086642,0.507248462031626
322,0.322,0.05630298748099605,0.5126568573966453
323,0.323,0.05639348242059057,0.5176529488052766
324,0.324,0.056489601102507885,0.5222137153028013
325,0.325,0.056586652483572523,0.5263332416362729
326,0.326,0.05667945433240372,0.5300223889497832
327,0.327,0.05676262947009744,0.5333077743077121
328,0.328,0.05683094499319451,0.5362301162443184
329,0.329,0.056879665306597826,0.5388420255946995
330,0.33,0.056904887705685976,0.5412053412390232
331,0.331,0.056903830756598175,0.5433881284920249
332,0.332,0.05687505049904549,0.5454614727823789
333,0.333,0.05681856681395693,0.5474962118337683
334,0.334,0.05673589117418652,0.5495597545097523
335,0.335,0.05662995632877439,0.5517131326269197
336,0.336,0.05650495718196706,0.5540084225003574
337,0.337,0.056366119285392445,0.5564866554404351
338,0.338,0.056219416276221276,0.5591763112895622
339,0.339,0.05607125988392755,0.5620924576160742
340,0.34,0.055928185749443554,0.5652365613816512
341,0.341,0.05579655553951425,0.5685969623431741
342,0.342,0.05568229126653711,0.5721499609571703
343,0.343,0.055590652111843095,0.5758614408179623
344,0.34400000000000003,0.055526058259735195,0.5796889189130046
345,0.34500000000000003,0.05549196110469363,0.5835838977638693
346,0.34600000000000003,0.05549075535952847,0.5874943826027995
347,0.34700000000000003,0.05552372647506086,0.5913674241475254
348,0.34800000000000003,0.05559102647713552,0.5951515527395292
349,0.34900000000000003,0.055691672616014924,0.5987989816815531
350,0.35000000000000003,0.05582356562734345,0.6022674754318553
351,0.35100000000000003,0.055983527279472665,0.6055218007044139
352,0.352,0.056167359542190515,0.6085347043025529
353,0.353,0.05636992955081328,0.6112873894916164
354,0.354,0.056585285132916704,0.613769491663404
355,0.355,0.056806804835677106,0.6159785826372093
356,0.356,0.05702738422529091,0.6179192597365446
357,0.357,0.05723965704396131,0.6196018992366528
358,0.358,0.05743624608546783,0.6210411723388484
359,0.359,0.057610034941614235,0.6222544340594407
360,0.36,0.057754448611981535,0.6232601001919235
361,0.361,0.057863728789895,0.6240761241734147
362,0.362,0.05793318871288653,0.6247186742781747
363,0.363,0.05795943288962406,0.625201092840665
364,0.364,0.05794052870568484,0.6255331946889544
365,0.365,0.057876119641919424,0.6257209337769485
366,0.366,0.05776747328858355,0.625766437661569
367,0.367,0.057617461139165944,0.6256683815863238
368,0.368,0.05743047094137475,0.625422649876852
369,0.369,0.05721225586172597,0.6250232139754335
370,0.37,0.05696972765856397,0.6244631448690392
371,0.371,0.05671070332641175,0.6237356732327792
372,0.372,0.05644361623760206,0.6228352129057135
373,0.373,0.05617720371110658,0.6217582713382627
374,0.374,0.05592018328404761,0.6205041830331766
375,0.375,0.055680929872710484,0.6190756172540155
376,0.376,0.05546716560329994,0.6174788279957142
377,0.377,0.05528567345078607,0.6157236312438026
378,0.378,0.055142044981735326,0.6138231110517154
379,0.379,0.05504047144023949,0.6117930714063478
380,0.38,0.05498358609707906,0.6096512649287438
381,0.381,0.054972364143499736,0.6074164419800232
382,0.382,0.0550060844154049,0.6051072745068995
383,0.383,0.05508235489033707,0.6027412176409555
384,0.384,0.05519720128045198,0.6003333781634635
385,0.385,0.05534521528478662,0.5978954618120067
386,0.386,0.05551975634822113,0.595434870324005
387,0.387,0.05571319830981873,0.5929540134631128
388,0.388,0.05591721030802123,0.59044989070579
389,0.389,0.056123059903700506,0.5879139818657956
390,0.39,0.056321925682486985,0.5853324663483107
391,0.391,0.05650520663112374,0.582686768180216
392,0.392,0.0566648163044461,0.5799544001918299
393,0.393,0.05679345110617281,0.5771100577916761
394,0.394,0.05688482375295649,0.57412689282859
395,0.395,0.05693385501203214,0.5709778830391119
396,0.396,0.05693681893315698,0.5676372040652174
397,0.397,0.056891438887710824,0.5640815099148746
398,0.398,0.05679693366437167,0.5602910342325331
399,0.399,0.056654014570583874,0.5562504383446314
400,0.4,0.0564648359102481,0.5519493516143519
401,0.401,0.05623290234384936,0.5473825735604693
402,0.402,0.05596293750986435,0.5425499335327031
403,0.403,0.05566071893748854,0.5374558304193897
404,0.404,0.0553328847619939,0.5321084998516008
405,0.405,0.05498671811648792,0.5265190777933138
406,0.406,0.05462991536003596,0.5207005456921647
407,0.40700000000000003,0.05427034453989038,0.5146666523116956
408,0.40800000000000003,0.05391580068490755,0.5084309102202984
409,0.40900000000000003,0.05357376467951252,0.5020057604046646
410,0.41000000000000003,0.05325117254846888,0.4954019868333517
411,0.41100000000000003,0.052954201956183104,0.48862844472527767
412,0.41200000000000003,0.05268808254858719,0.481692142913369
413,0.41300000000000003,0.05245693639964051,0.4745986935162075
414,0.41400000000000003,0.052263654233275954,0.46735311285783526
415,0.41500000000000004,0.05210981225108636,0.4599609280371473
416,0.41600000000000004,0.0519956332961925,0.45242951556177985
417,0.417,0.05191999472969121,0.444769573730301
418,0.418,0.05188048380906667,0.43699661049059424
419,0.419,0.05187349957508429,0.429132314631852
420,0.42,0.05189439832891099,0.4212056714972419
421,0.421,0.05193767778636562,0.413253685893209
422,0.422,0.05199719302366569,0.4053215853619842
423,0.423,0.052066395491864335,0.39746239720486864
424,0.424,0.05213858480915024,0.38973582313729493
425,0.425,0.05220716188901569,0.38220637639197663
426,0.426,0.05226587137912715,0.37494079694309734
427,0.427,0.05230902150738945,0.36800481966061827
428,0.428,0.05233167035896821,0.36145943439098926
429,0.429,0.05232976938226066,0.3553568410417254
430,0.43,0.05230025750387555,0.3497363596438924
431,0.431,0.05224110248900977,0.3446205966693368
432,0.432,0.052151289883951034,0.34001218615386986
433,0.433,0.052030763706526297,0.3358914108682265
434,0.434,0.05188032663517536,0.33221496227010594
435,0.435,0.05170151039861637,0.3289160210961217
436,0.436,0.051496429030362494,0.32590574173278813
437,0.437,0.051267628357977366,0.32307611576130973
438,0.438,0.05101794441340726,0.32030408767183083
439,0.439,0.05075038141381261,0.3174567113547604
440,0.44,0.050468016785917065,0.3143970778942583
441,0.441,0.05017393676747017,0.31099071607446643
442,0.442,0.04987120191013255,0.3071121642483002
443,0.443,0.04956283787482379,0.30265142948527324
444,0.444,0.04925184377204723,0.2975200792097483
445,0.445,0.04894120837035099,0.29165674401107466
446,0.446,0.048633924022197954,0.2850318414329461
447,0.447,0.048332989175767685,0.2776513546334968
448,0.448,0.04804139267568386,0.26955951394174915
449,0.449,0.04776207633572298,0.26084023215171875
450,0.45,0.047497875985726586,0.25161713593121593
451,0.451,0.04725144478543669,0.24205201773988266
452,0.452,0.047025165517355846,0.23234150972835949
453,0.453,0.04682106038593141,0.2227117627500539
454,0.454,0.04664070730720714,0.21341091742526477
455,0.455,0.04648517073861332,0.20469920882187959
456,0.456,0.04635495296771395,0.196836691567424
457,0.457,0.046249968843884354,0.1900688503778483
458,0.458,0.04616954372077117,0.18461079276140072
459,0.459,0.04611243144330445,0.1806312650783674
460,0.46,0.04607684706562141,0.17823825020629458
461,0.461,0.04606050798305273,0.17746816390322903
462,0.462,0.046060677450455806,0.17828044029834403
463,0.463,0.04607420595619643,0.18055851899821557
464,0.464,0.04609756832725268,0.1841171182268099
465,0.465,0.04612689729914492,0.18871459869754886
466,0.466,0.046158017061735404,0.19406856266419095
467,0.467,0.04618648247261271,0.19987273212389184
468,0.468,0.04620763080134622,0.20581349173496177
469,0.46900000000000003,0.0462166527880765,0.21158502109338131
470,0.47000000000000003,0.04620868842971698,0.216902459895461
471,0.47100000000000003,0.04617895041050007,0.22151293257283816
