,Time,"I(1,7) tq = linear flat","I(1,7) tq = 10","I(1,7) tq = 100"
331,0.331,0.006522800150747701,0.10167388388492693,0.016919615343963912
332,0.332,0.006315463489167519,0.10281926815732756,0.017429327729879263
333,0.333,0.006186419923813621,0.10446292778939248,0.01812158580580603
334,0.334,0.006120129128727156,0.10652243627221258,0.019010493373091242
335,0.335,0.006097174310805406,0.10885920541087968,0.020087642413737172
336,0.336,0.006095915226286788,0.1112942792262448,0.021320958713602733
337,0.337,0.006094623187290565,0.1136313903451932,0.02265699962994927
338,0.338,0.006073805740851257,0.11568406583093782,0.024026741100178994
339,0.339,0.006018371425231428,0.11730223971511167,0.02535433196660819
340,0.34,0.005919285579611494,0.11839336143813206,0.026567678643409032
341,0.341,0.00577443610091144,0.1189338127148355,0.027609184181890956
342,0.342,0.005588556238834391,0.11896852861227836,0.028444672113065672
343,0.343,0.005372214340304937,0.11859944602294181,0.029068635457175307
344,0.34400000000000003,0.005140040735539822,0.11796583565168328,0.029504538830953497
345,0.34500000000000003,0.0049084845419091055,0.11722094726331744,0.029799889922875522
346,0.34600000000000003,0.004693456783935665,0.1165094792303929,0.03001694886799089
347,0.34700000000000003,0.00450821706986701,0.11594945834728354,0.03022093610469523
348,0.34800000000000003,0.004361807975289192,0.1156207045862343,0.030468146434204813
349,0.34900000000000003,0.004258248079797564,0.1155606184493656,0.030796343785574942
350,0.35000000000000003,0.004196574977224143,0.11576683101302465,0.031219245258328865
351,0.35100000000000003,0.004171696692240545,0.11620538613432974,0.03172598848371588
352,0.352,0.004175879223031753,0.11682257238230842,0.03228544997126337
353,0.353,0.004200589572384145,0.11755825719480906,0.03285436141130704
354,0.354,0.004238350791275852,0.11835857547046325,0.03338751634659276
355,0.355,0.004284266871840775,0.11918607603953446,0.03384806391595041
356,0.356,0.004336945036754636,0.12002590912791011,0.03421597386180042
357,0.357,0.0043986659150769825,0.12088729420092004,0.03449318449840544
358,0.358,0.004474798327639862,0.12180025360160451,0.03470460887039273
359,0.359,0.004572591865400974,0.12280832250046259,0.03489493022833268
360,0.36,0.004699581913163567,0.12395853940156654,0.03512181838124362
